objectid,mode,lineabbr,month_,year_,servicetype,avgboardings,city,county
55,Fixed Route Bus - Regular,1,October,2022,WKD,1957.798037000000022,Salt Lake City,Salt Lake
56,Fixed Route Bus - Regular,1,October,2022,SAT,874.166666999999961,Salt Lake City,Salt Lake
57,Fixed Route Bus - Regular,1,August,2022,WKD,1131.531252999999879,Salt Lake City,Salt Lake
58,Fixed Route Bus - Regular,2,February,2024,SUN,289.333332999999982,Salt Lake City,Salt Lake
59,Fixed Route Bus - Regular,2,February,2024,SAT,566.399999999999977,Salt Lake City,Salt Lake
60,Fixed Route Bus - Regular,2,January,2024,SUN,223.083333000000010,Salt Lake City,Salt Lake
61,Fixed Route Bus - Regular,2,January,2024,WKD,1412.560455000000047,Salt Lake City,Salt Lake
62,Fixed Route Bus - Regular,2,January,2024,SAT,497.733332999999959,Salt Lake City,Salt Lake
63,Fixed Route Bus - Regular,2,February,2024,WKD,1532.710870999999997,Salt Lake City,Salt Lake
64,Fixed Route Bus - Regular,2,October,2023,SUN,264.633332999999993,Salt Lake City,Salt Lake
65,Fixed Route Bus - Regular,2,February,2023,SAT,304.649999999999977,Salt Lake City,Salt Lake
66,Fixed Route Bus - Regular,2,January,2023,SAT,485.633332999999993,Salt Lake City,Salt Lake
67,Fixed Route Bus - Regular,2,March,2023,WKD,1299.890268000000106,Salt Lake City,Salt Lake
68,Fixed Route Bus - Regular,2,October,2023,WKD,1684.935564999999997,Salt Lake City,Salt Lake
69,Fixed Route Bus - Regular,2,August,2023,SAT,555.645833000000039,Salt Lake City,Salt Lake
70,Fixed Route Bus - Regular,2,March,2023,SUN,258.500000000000000,Salt Lake City,Salt Lake
71,Fixed Route Bus - Regular,2,December,2023,SAT,481.683332999999948,Salt Lake City,Salt Lake
72,Fixed Route Bus - Regular,2,September,2023,WKD,1763.457148000000188,Salt Lake City,Salt Lake
73,Fixed Route Bus - Regular,2,June,2023,WKD,1039.188035000000127,Salt Lake City,Salt Lake
74,Fixed Route Bus - Regular,2,January,2023,SUN,276.633332999999993,Salt Lake City,Salt Lake
75,Fixed Route Bus - Regular,2,January,2023,WKD,1386.131097000000182,Salt Lake City,Salt Lake
76,Fixed Route Bus - Regular,2,August,2023,SUN,257.126666999999998,Salt Lake City,Salt Lake
77,Fixed Route Bus - Regular,2,July,2023,SUN,212.333333000000010,Salt Lake City,Salt Lake
78,Fixed Route Bus - Regular,2,June,2023,SAT,445.750000000000000,Salt Lake City,Salt Lake
79,Fixed Route Bus - Regular,2,April,2023,SAT,505.399999999999977,Salt Lake City,Salt Lake
80,Fixed Route Bus - Regular,2,November,2023,WKD,1690.027258000000074,Salt Lake City,Salt Lake
81,Fixed Route Bus - Regular,2,February,2023,WKD,1165.097403000000213,Salt Lake City,Salt Lake
82,Fixed Route Bus - Regular,2,July,2023,WKD,1017.570829000000003,Salt Lake City,Salt Lake
83,Fixed Route Bus - Regular,2,May,2023,WKD,1059.575409999999920,Salt Lake City,Salt Lake
84,Fixed Route Bus - Regular,2,April,2023,WKD,1286.985339999999951,Salt Lake City,Salt Lake
